STBIMPINDEX,STBIMPDATE,STBMAPID,STBSTATUS,STBGROUP,STBFORM,STBPAGE,STBITEM,STBFIELD,S_Amount,HKRTN,STBDrillAlias,STBDrillTable,STBDrillRef,STBBRANCH,S_TAVA_Ref
8217,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",875700,"","","",150052,"","P1A-1"
8192,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",788200,"","","",150027,"","P1A-1"
8217,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",875700,"","","",150052,"","P1A-1"
8223,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",785100,"","","",150058,"","P1A-1"
8187,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",788700,"","","",150022,"","P1A-1"
8193,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",888100,"","","",150028,"","P1A-1"
8279,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",456200,"","","",150114,"","P1A-2"
8223,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",785100,"","","",150058,"","P1A-1"
8279,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",456200,"","","",150114,"","P1A-2"
8324,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",6750,"","","",150159,"","P1B-12"
8568,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",114531.285024,"","","",150403,"","Part4-A3R1"
8571,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",114161.033025,"","","",150406,"","Part4-A3R1"
8322,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",72000,"","","",150157,"","P1B-12"
8958,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",81085.187781,"","","",150793,"","Part4-A3R1"
8224,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",785000,"","","",150059,"","P1A-1"
8958,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",81085.187781,"","","",150793,"","Part4-A3R1"
8284,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",78905700,"","","",150119,"","P1A-2"
8401,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",134648.310303,"","","",150236,"","Part4-A1R3"
9018,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",456100,"","","",150853,"","P1A-2"
8228,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",4311300,"","","",150063,"","P1A-2"
9020,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",456100,"","","",150855,"","P1A-2"
8733,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",94167.425079,"","","",150568,"","Part4-B1R4"
8289,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",7895200,"","","",150124,"","P1A-2"
12318,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",0,"","","",32091,"","884"
8259,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",358200,"","","",150094,"","P1A-2"
8246,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",3459500,"","","",150081,"","P1A-2"
8259,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",358200,"","","",150094,"","P1A-2"
8214,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",566000,"","","",150049,"","P1A-1"
8264,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",767700,"","","",150099,"","P1A-2"
8179,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",9500,"","","",150014,"","P1A-1"
8448,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",128230.608987,"","","",150283,"","Part4-A1R9"
8448,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",128230.608987,"","","",150283,"","Part4-A1R9"
8179,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",9500,"","","",150014,"","P1A-1"
8218,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",895600,"","","",150053,"","P1A-1"
8254,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",458700,"","","",150089,"","P1A-2"
8260,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",548100,"","","",150095,"","P1A-2"
9017,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",456100,"","","",150852,"","P1A-2"
8260,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",548100,"","","",150095,"","P1A-2"
8280,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",456100,"","","",150115,"","P1A-2"
8447,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",128354.02632,"","","",150282,"","Part4-A1R9"
8447,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",128354.02632,"","","",150282,"","Part4-A1R9"
8192,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",788200,"","","",150027,"","P1A-1"
8440,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",129217.947651,"","","",150275,"","Part4-A1R8"
8210,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",796400,"","","",150045,"","P1A-1"
8211,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",586300,"","","",150046,"","P1A-1"
8944,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",82813.030443,"","","",150779,"","Part4-A1R8"
8261,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",658000,"","","",150096,"","P1A-2"
8323,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",38250,"","","",150158,"","P1B-12"
8261,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",658000,"","","",150096,"","P1A-2"
8324,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",6750,"","","",150159,"","P1B-12"
8180,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",9400,"","","",150015,"","P1A-1"
8440,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",129217.947651,"","","",150275,"","Part4-A1R8"
8348,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",140952.636288,"","","",150183,"",""
8181,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",9300,"","","",150016,"","P1A-1"
8272,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",656900,"","","",150107,"","P1A-2"
8239,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",97610200,"","","",150074,"","P1A-2"
8570,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",114284.450358,"","","",150405,"","Part4-A3R1"
8320,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",22200,"","","",150155,"","P1B-12"
8189,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",788500,"","","",150024,"","P1A-1"
8565,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",114901.537023,"","","",150400,"","Part4-A3R1"
8760,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",90835.157088,"","","",150595,"","Part4-B1R9"
8945,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",82689.61311,"","","",150780,"","Part4-A1R9"
8566,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",114778.11969,"","","",150401,"","Part4-A3R1"
8565,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",114901.537023,"","","",150400,"","Part4-A3R1"
8742,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",93056.669082,"","","",150577,"","Part4-B1R6"
8945,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",82689.61311,"","","",150780,"","Part4-A1R9"
8751,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",91945.913085,"","","",150586,"","Part4-B1R8"
8567,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",114654.702357,"","","",150402,"","Part4-A3R1"
8231,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",4211000,"","","",150066,"","P1A-2"
8569,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",114407.867691,"","","",150404,"","Part4-A3R1"
8567,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",114654.702357,"","","",150402,"","Part4-A3R1"
8281,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",3466000,"","","",150116,"","P1A-2"
8231,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",4211000,"","","",150066,"","P1A-2"
8570,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",114284.450358,"","","",150405,"","Part4-A3R1"
8256,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",548500,"","","",150091,"","P1A-2"
8239,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",97610200,"","","",150074,"","P1A-2"
8563,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9C","S_Amount",115148.371689,"","","",150398,"","Part4-A3R1"
8256,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",548500,"","","",150091,"","P1A-2"
8437,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",129588.19965,"","","",150272,"","Part4-A1R8"
12317,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",-6477367.42563885,"","","",32090,"","883"
8444,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",128724.278319,"","","",150279,"","Part4-A1R9"
8437,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",129588.19965,"","","",150272,"","Part4-A1R8"
8189,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",788500,"","","",150024,"","P1A-1"
8322,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",72000,"","","",150157,"","P1B-12"
8219,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",585500,"","","",150054,"","P1A-1"
8323,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",38250,"","","",150158,"","P1B-12"
8194,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",888000,"","","",150029,"","P1A-1"
8320,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",22200,"","","",150155,"","P1B-12"
8445,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150280,"","Part4-A1R9"
8190,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",788400,"","","",150025,"","P1A-1"
12256,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",79727889,"","","",32029,"","1073"
8170,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",6510900,"","","",150005,"","P1A-1"
8445,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150280,"","Part4-A1R9"
8191,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",788300,"","","",150026,"","P1A-1"
12271,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",123580959,"","","",32044,"","1088"
12272,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",126504497,"","","",32045,"","1089"
8170,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",6510900,"","","",150005,"","P1A-1"
8667,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9C","S_Amount",102312.969057,"","","",150502,"","Part4-A3R12"
8190,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",788400,"","","",150025,"","P1A-1"
8172,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",7610700,"","","",150007,"","P1A-1"
8501,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150336,"","Part4-A1R11"
8282,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",8765900,"","","",150117,"","P1A-2"
8278,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",45646300,"","","",150113,"","P1A-2"
8501,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150336,"","Part4-A1R11"
8268,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150103,"","P1A-2"
8267,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150102,"","P1A-2"
8293,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150128,"","P1A-2"
8434,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",129958.451649,"","","",150269,"","Part4-A1R8"
8268,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150103,"","P1A-2"
8434,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",129958.451649,"","","",150269,"","Part4-A1R8"
8267,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150102,"","P1A-2"
8247,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",459400,"","","",150082,"","P1A-2"
8225,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",784900,"","","",150060,"","P1A-1"
8207,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",776700,"","","",150042,"","P1A-1"
8195,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",887900,"","","",150030,"","P1A-1"
8205,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",776900,"","","",150040,"","P1A-1"
8287,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",7895400,"","","",150122,"","P1A-2"
8213,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",546100,"","","",150048,"","P1A-1"
8206,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",776800,"","","",150041,"","P1A-1"
8288,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",7895300,"","","",150123,"","P1A-2"
8183,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",789100,"","","",150018,"","P1A-1"
8270,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",45747100,"","","",150105,"","P1A-2"
8233,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",34510800,"","","",150068,"","P1A-2"
8275,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",4566600,"","","",150110,"","P1A-2"
8275,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",4566600,"","","",150110,"","P1A-2"
8230,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",34211100,"","","",150065,"","P1A-2"
8263,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",767800,"","","",150098,"","P1A-2"
8252,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",868900,"","","",150087,"","P1A-2"
8252,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",868900,"","","",150087,"","P1A-2"
12259,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",88498503,"","","",32032,"","1076"
12260,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",91422041,"","","",32033,"","1077"
8502,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150337,"","Part4-A1R11"
8253,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",788800,"","","",150088,"","P1A-2"
12261,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",94345579,"","","",32034,"","1078"
8508,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150343,"","Part4-A1R11"
8446,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",128477.443653,"","","",150281,"","Part4-A1R9"
12255,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",76804351,"","","",32028,"","1072"
8220,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",875400,"","","",150055,"","P1A-1"
8446,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",128477.443653,"","","",150281,"","Part4-A1R9"
8216,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",365800,"","","",150051,"","P1A-1"
12254,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",73880813,"","","",32027,"","1071"
12386,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",0,"","","",32159,"","2579"
8185,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",788900,"","","",150020,"","P1A-1"
8499,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150334,"","Part4-A1R11"
8185,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",788900,"","","",150020,"","P1A-1"
8499,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150334,"","Part4-A1R11"
8186,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",788800,"","","",150021,"","P1A-1"
8500,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150335,"","Part4-A1R11"
8277,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",45646400,"","","",150112,"","P1A-2"
8230,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",34211100,"","","",150065,"","P1A-2"
8262,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",767900,"","","",150097,"","P1A-2"
8442,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",128971.112985,"","","",150277,"","Part4-A1R9"
8443,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",128847.695652,"","","",150278,"","Part4-A1R9"
8200,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",897400,"","","",150035,"","P1A-1"
8443,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",128847.695652,"","","",150278,"","Part4-A1R9"
8442,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",128971.112985,"","","",150277,"","Part4-A1R9"
8201,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",897300,"","","",150036,"","P1A-1"
8188,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",788600,"","","",150023,"","P1A-1"
8176,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",9800,"","","",150011,"","P1A-1"
8177,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",9700,"","","",150012,"","P1A-1"
8213,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",546100,"","","",150048,"","P1A-1"
8207,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",776700,"","","",150042,"","P1A-1"
8183,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",789100,"","","",150018,"","P1A-1"
8233,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",34510800,"","","",150068,"","P1A-2"
8176,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",9800,"","","",150011,"","P1A-1"
8182,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",9200,"","","",150017,"","P1A-1"
8177,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",9700,"","","",150012,"","P1A-1"
8269,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150104,"","P1A-2"
8178,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",9600,"","","",150013,"","P1A-1"
8208,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",666600,"","","",150043,"","P1A-1"
8283,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",975800,"","","",150118,"","P1A-2"
8168,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",6511100,"","","",150003,"","P1A-1"
8282,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",8765900,"","","",150117,"","P1A-2"
8283,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",975800,"","","",150118,"","P1A-2"
8257,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",3458400,"","","",150092,"","P1A-2"
8258,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",3458300,"","","",150093,"","P1A-2"
8196,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",887800,"","","",150031,"","P1A-1"
8503,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150338,"","Part4-A1R11"
8257,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",3458400,"","","",150092,"","P1A-2"
8225,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",784900,"","","",150060,"","P1A-1"
8503,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150338,"","Part4-A1R11"
8258,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",3458300,"","","",150093,"","P1A-2"
8205,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",776900,"","","",150040,"","P1A-1"
8226,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",784800,"","","",150061,"","P1A-1"
8294,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150129,"","P1A-2"
8206,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",776800,"","","",150041,"","P1A-1"
8294,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150129,"","P1A-2"
8441,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",129094.530318,"","","",150276,"","Part4-A1R9"
8196,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",887800,"","","",150031,"","P1A-1"
8269,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150104,"","P1A-2"
8441,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",129094.530318,"","","",150276,"","Part4-A1R9"
8234,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150069,"","P1A-2"
8168,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",6511100,"","","",150003,"","P1A-1"
