--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd),,,,
CellName,PageInstanceCode,AdjustmentValue,Comment,RowKey
RCFD1746,1,2039963,,
RCFD1752,1,2063622,,
RCFD1763,1,2087280,,
RCFD1764,1,2110938,,
RCFD1778,1,2134596,,
RCFD1797,1,2158254,,
RCFD2081,1,2181912,,
RCFD2107,1,2205570,,
RCFD2123,1,2229228,,
RCFD2130,1,2252886,,
RCFD2145,1,2276544,,
RCFD2148,1,5899232,,
RCFD2166,1,2300202,,
RCFD2168,1,28477048,,
RCFD2651,1,2323861,,
RCFD2746,1,2347519,,
RCFD2932,1,2371177,,
RCFD2938,1,3666526,,
RCFD3000,1,2394835,,
RCFD3049,1,3556526,,
RCFD3066,1,2418493,,
RCFD3123,1,2442151,,
RCFD3128,1,2465809,,
RCFD3163,1,2489467,,
RCFD3164,1,2513125,,
RCFD3200,1,2536783,,
RCFD3230,1,2560441,,
RCFD3381,1,398367611,,
RCFD3411,1,2584099,,
RCFD3430,1,2607758,,
RCFD3432,1,2631416,,
RCFD3433,1,2655074,,
RCFD3434,1,2678732,,
RCFD3435,1,2702390,,
RCFD3450,1,2726048,,
RCFD3505,1,2749706,,
RCFD3506,1,2773364,,
RCFD3507,1,2797022,,
RCFD3529,1,2820680,,
RCFD3530,1,2844338,,
RCFD3531,1,2867997,,
RCFD3532,1,2891655,,
RCFD3533,1,2915313,,
RCFD3541,1,2938971,,
RCFD3543,1,2962629,,
RCFD3546,1,2986287,,
RCFD3547,1,3009945,,
RCFD3549,1,3033603,,
RCFD3550,1,3057261,,
RCFD3551,1,3080919,,
RCFD3552,1,3104577,,
RCFD3553,1,3128236,,
RCFD3554,1,3151894,,
RCFD3555,1,3175552,,
RCFD3556,1,3199210,,
RCFD3557,1,3222868,,
RCFD3646,1,3246526,,
RCFD3656,1,3270184,,
RCFD3814,1,3293842,,
RCFD3815,1,3317500,,
RCFD3817,1,3341158,,
RCFD3819,1,3364816,,
RCFD3820,1,3388474,,
RCFD3821,1,3412133,,
RCFD3822,1,3435791,,
RCFD3826,1,3459449,,
RCFD3838,1,3483107,,
RCFD3839,1,3506765,,
RCFD4088N,1,NO,,
RCFD4088Y,1,YES,,
RCFD5367,1,3577739,,
RCFD5368,1,3601397,,
RCFD5369,1,3625055,,
RCFD5377,1,3648713,,
RCFD5378,1,3672372,,
RCFD5379,1,3696030,,
RCFD5380,1,3719688,,
RCFD5381,1,3743346,,
RCFD5382,1,3767004,,
RCFD5389,1,3790662,,
RCFD5390,1,3814320,,
RCFD5391,1,3837978,,
RCFD5459,1,3861636,,
RCFD5460,1,3885294,,
RCFD5461,1,3908952,,
RCFD5507,1,3932610,,
RCFD5591,1,3956269,,
RCFD5592,1,3979927,,
RCFD5593,1,4003585,,
RCFD5594,1,4027243,,
RCFD5595,1,4050901,,
RCFD6164,1,4074559,,
RCFD6165,1,4098217,,
RCFD6550,1,4121875,,
RCFD6558,1,4145533,,
RCFD6559,1,4169191,,
RCFD6560,1,4192849,,
RCFD6724,1,1,,
RCFD8496,1,4240166,,
RCFD8497,1,4263824,,
RCFD8498,1,4287482,,
RCFD8499,1,4311140,,
RCFD8693,1,4334798,,
RCFD8694,1,4358456,,
RCFD8695,1,4382114,,
RCFD8696,1,4405772,,
RCFD8697,1,4429430,,
RCFD8698,1,4453088,,
RCFD8699,1,4476747,,
RCFD8700,1,4500405,,
RCFD8701,1,4524063,,
RCFD8702,1,4547721,,
RCFD8703,1,4571379,,
RCFD8704,1,4595037,,
RCFD8705,1,4618695,,
RCFD8706,1,4642353,,
RCFD8707,1,4666011,,
RCFD8708,1,4689669,,
RCFD8709,1,4713327,,
RCFD8710,1,4736985,,
RCFD8711,1,4760644,,
RCFD8712,1,4784302,,
RCFD8713,1,4807960,,
RCFD8714,1,4831618,,
RCFD8715,1,4855276,,
RCFD8716,1,4878934,,
RCFD8719,1,4902592,,
RCFD8720,1,4926250,,
RCFD8723,1,4949908,,
RCFD8724,1,4973566,,
RCFD8725,1,4997224,,
RCFD8726,1,5020883,,
RCFD8727,1,5044541,,
RCFD8728,1,5068199,,
RCFD8733,1,5091857,,
RCFD8734,1,5115515,,
RCFD8735,1,5139173,,
RCFD8736,1,5162831,,
RCFD8737,1,5186489,,
RCFD8738,1,5210147,,
RCFD8739,1,5233805,,
RCFD8740,1,5257463,,
RCFD8741,1,5281122,,
RCFD8742,1,5304780,,
RCFD8743,1,5328438,,
RCFD8744,1,5352096,,
RCFD8745,1,5375754,,
RCFD8746,1,5399412,,
RCFD8747,1,5423070,,
RCFD8748,1,5446728,,
RCFD8765,1,5470386,,
RCFD8782,1,5494044,,
RCFD8783,1,5517702,,
RCFDA126,1,5541360,,
RCFDA127,1,5565019,,
RCFDA130,1,5588677,,
RCFDA222,1,5612335,,
RCFDA247,1,5635993,,
RCFDA248,1,5659651,,
RCFDA249,1,5683309,,
RCFDA250,1,5706967,,
RCFDA345N,1,NO,,
RCFDA345Y,1,YES,,
RCFDA346N,1,NO,,
RCFDA346Y,1,YES,,
RCFDA510,1,5825258,,
RCFDA511,1,5848916,,
RCFDA519,1,5872574,,
RCFDA520,1,5896232,,
RCFDA549,1,5919890,,
RCFDA550,1,5943548,,
RCFDA551,1,5967206,,
RCFDA552,1,5990864,,
RCFDA553,1,6014522,,
RCFDA554,1,6038180,,
RCFDA555,1,6061838,,
RCFDA556,1,6085497,,
RCFDA557,1,6109155,,
RCFDA558,1,6132813,,
RCFDA559,1,6156471,,
RCFDA560,1,6180129,,
RCFDA561,1,6203787,,
RCFDA562,1,6227445,,
RCFDA570,1,6251103,,
RCFDA571,1,6274761,,
RCFDA572,1,6298419,,
RCFDA573,1,6322077,,
RCFDA574,1,6345735,,
RCFDA575,1,6369394,,
RCFDA589,1,6393052,,
RCFDA590,1,6416710,,
RCFDA591,1,6440368,,
RCFDB026,1,6464026,,
RCFDB500,1,6487684,,
RCFDB501,1,6511342,,
RCFDB502,1,6535000,,
RCFDB528,1,6558658,,
RCFDB530,1,6582316,,
RCFDB532,1,6605974,,
RCFDB533,1,6629633,,
RCFDB534,1,6653291,,
RCFDB536,1,6676949,,
RCFDB537,1,6700607,,
RCFDB538,1,6724265,,
RCFDB539,1,6747923,,
RCFDB556,1,5972574,,
RCFDB557,1,6771581,,
RCFDB558,1,137534010,,
RCFDB569N,1,NO,,
RCFDB569Y,1,YES,,
RCFDB570,1,6842555,,
RCFDB571,1,6866213,,
RCFDB575,1,6889871,,
RCFDB576,1,6913530,,
RCFDB577,1,6937188,,
RCFDB705,1,6960846,,
RCFDB706,1,6984504,,
RCFDB707,1,7008162,,
RCFDB708,1,7031820,,
RCFDB709,1,7055478,,
RCFDB710,1,7079136,,
RCFDB711,1,7102794,,
RCFDB712,1,7126452,,
RCFDB713,1,7150110,,
RCFDB714,1,7173769,,
RCFDB715,1,7197427,,
RCFDB716,1,7221085,,
RCFDB717,1,7244743,,
RCFDB718,1,7268401,,
RCFDB726,1,7292059,,
RCFDB727,1,7315717,,
RCFDB728,1,7339375,,
RCFDB729,1,7363033,,
RCFDB730,1,7386691,,
RCFDB731,1,7410349,,
RCFDB732,1,7434008,,
RCFDB733,1,7457666,,
RCFDB734,1,7481324,,
RCFDB735,1,7504982,,
RCFDB736,1,7528640,,
RCFDB737,1,7552298,,
RCFDB738,1,7575956,,
RCFDB739,1,7599614,,
RCFDB740,1,7623272,,
RCFDB741,1,7646930,,
RCFDB742,1,7670588,,
RCFDB743,1,7694246,,
RCFDB744,1,7717905,,
RCFDB745,1,7741563,,
RCFDB746,1,7765221,,
RCFDB761,1,7788879,,
RCFDB762,1,7812537,,
RCFDB763,1,7836195,,
RCFDB764,1,7859853,,
RCFDB765,1,7883511,,
RCFDB766,1,7907169,,
RCFDB767,1,7930827,,
RCFDB768,1,7954485,,
RCFDB769,1,7978144,,
RCFDB776,1,8001802,,
RCFDB777,1,8025460,,
RCFDB778,1,8049118,,
RCFDB779,1,8072776,,
RCFDB780,1,8096434,,
RCFDB781,1,8120092,,
RCFDB782,1,8143750,,
RCFDB783,1,8167408,,
RCFDB784,1,8191066,,
RCFDB785,1,8214724,,
RCFDB786,1,8238383,,
RCFDB787,1,8262041,,
RCFDB788,1,8285699,,
RCFDB789,1,8309357,,
RCFDB790,1,8333015,,
RCFDB791,1,8356673,,
RCFDB792,1,8380331,,
RCFDB793,1,8403989,,
RCFDB794,1,8427647,,
RCFDB795,1,8451305,,
RCFDB796,1,8474963,,
RCFDB797,1,8498621,,
RCFDB798,1,8522280,,
RCFDB799,1,8545938,,
RCFDB800,1,8569596,,
RCFDB801,1,8593254,,
RCFDB802,1,8616912,,
RCFDB803,1,8640570,,
RCFDB804,1,8664228,,
RCFDB805,1,8687886,,
RCFDB806,1,8711544,,
RCFDB807,1,8735202,,
RCFDB808,1,8758860,,
RCFDB809,1,8782519,,
RCFDB837,1,8806177,,
RCFDB838,1,8829835,,
RCFDB839,1,8853493,,
RCFDB840,1,8877151,,
RCFDB841,1,8900809,,
RCFDB842,1,8924467,,
RCFDB843,1,8948125,,
RCFDB844,1,8971783,,
RCFDB845,1,8995441,,
RCFDB846,1,9019099,,
RCFDB847,1,9042758,,
RCFDB848,1,9066416,,
RCFDB849,1,9090074,,
RCFDB850,1,9113732,,
RCFDB851,1,9137390,,
RCFDB852,1,9161048,,
RCFDB853,1,9184706,,
RCFDB854,1,9208364,,
RCFDB855,1,9232022,,
RCFDB856,1,9255680,,
RCFDB857,1,9279338,,
RCFDB858,1,9302996,,
RCFDB859,1,9326655,,
RCFDB860,1,9350313,,
RCFDB861,1,9373971,,
RCFDB867N,1,NO,,
RCFDB867Y,1,YES,,
RCFDB868,1,9444945,,
RCFDB869,1,9468603,,
RCFDB870,1,9492261,,
RCFDB871,1,9515919,,
RCFDB872,1,9539577,,
RCFDB873,1,9563235,,
RCFDB874,1,9586894,,
RCFDB875,1,9610552,,
RCFDB876,1,9634210,,
RCFDB877,1,9657868,,
RCFDB878,1,9681526,,
RCFDB879,1,9705184,,
RCFDB880,1,9728842,,
RCFDB881,1,9752500,,
RCFDB882,1,9776158,,
RCFDB883,1,9799816,,
RCFDB884,1,9823474,,
RCFDB885,1,9847132,,
RCFDB886,1,9870791,,
RCFDB888,1,9894449,,
RCFDB890,1,9918107,,
RCFDB891,1,9941765,,
RCFDB892,1,9965423,,
RCFDB893,1,9989081,,
RCFDB898,1,10012739,,
RCFDB899,1,10036397,,
RCFDB927,1,10060055,,
RCFDB928,1,10083713,,
RCFDB929,1,10107371,,
RCFDB931,1,10131030,,
RCFDB932,1,10154688,,
RCFDB933,1,10178346,,
RCFDB934,1,10202004,,
RCFDB935,1,10225662,,
RCFDB936,1,10249320,,
RCFDB937,1,10272978,,
RCFDB938,1,10296636,,
RCFDB939,1,10320294,,
RCFDB940,1,10343952,,
RCFDB941,1,10367610,,
RCFDB942,1,10391269,,
RCFDB943,1,10414927,,
RCFDB944,1,10438585,,
RCFDB989,1,10462243,,
RCFDB995,1,10485901,,
RCFDC001,1,10509559,,
RCFDC002,1,10533217,,
RCFDC010,1,10556875,,
RCFDC011,1,10580533,,
RCFDC012,1,10604191,,
RCFDC026,1,10627849,,
RCFDC027,1,10651507,,
RCFDC219,1,10675166,,
RCFDC220,1,10698824,,
RCFDC221,1,10722482,,
RCFDC222,1,10746140,,
RCFDC223,1,10769798,,
RCFDC224,1,10793456,,
RCFDC226,1,10817114,,
RCFDC240,1,10840772,,
RCFDC241,1,10864430,,
RCFDC391,1,10888088,,
RCFDC393,1,10911746,,
RCFDC394,1,10935405,,
RCFDC395,1,10959063,,
RCFDC396,1,10982721,,
RCFDC397,1,11006379,,
RCFDC398,1,11030037,,
RCFDC399,1,11053695,,
RCFDC400,1,11077353,,
RCFDC401,1,11101011,,
RCFDC402,1,11124669,,
RCFDC403,1,11148327,,
RCFDC404,1,11171985,,
RCFDC405,1,11195644,,
RCFDC406,1,11219302,,
RCFDC407,1,11242960,,
RCFDC410,1,11266618,,
RCFDC411,1,11290276,,
RCFDC436,1,11313934,,
RCFDC779,1,11337592,,
RCFDC780,1,11361250,,
RCFDC968,1,11384908,,
RCFDC969,1,11408566,,
RCFDC970,1,11432224,,
RCFDC971,1,11455882,,
RCFDC972,1,11479541,,
RCFDC973,1,11503199,,
RCFDC974,1,11526857,,
RCFDC975,1,11550515,,
RCFDC978,1,11574173,,
RCFDC988,1,11597831,,
RCFDC989,1,11621489,,
RCFDD957,1,11645147,,
RCFDD958,1,11668805,,
RCFDD959,1,11692463,,
RCFDD960,1,11716121,,
RCFDD961,1,11739780,,
RCFDD962,1,11763438,,
RCFDD963,1,11787096,,
RCFDD964,1,11810754,,
RCFDD965,1,11834412,,
RCFDD966,1,11858070,,
RCFDD967,1,11881728,,
RCFDD968,1,11905386,,
RCFDD969,1,11929044,,
RCFDD970,1,11952702,,
RCFDD976,1,11976360,,
RCFDD977,1,12000019,,
RCFDD978,1,12023677,,
RCFDD979,1,12047335,,
RCFDD980,1,12070993,,
RCFDD981,1,12094651,,
RCFDD982,1,12118309,,
RCFDD983,1,12141967,,
RCFDD984,1,12165625,,
RCFDD985,1,12189283,,
RCFDD991,1,12212941,,
RCFDD993,1,12236599,,
RCFDD994,1,12260257,,
RCFDD995,1,12283916,,
RCFDD996,1,12307574,,
RCFDD997,1,12331232,,
RCFDD999,1,12354890,,
RCFDF055,1,12378548,,
RCFDF056,1,12402206,,
RCFDF057,1,12425864,,
RCFDF058,1,12449522,,
RCFDF059,1,12473180,,
RCFDF060,1,12496838,,
RCFDF061,1,12520496,,
RCFDF062,1,12544155,,
RCFDF063,1,12567813,,
RCFDF065,1,12591471,,
RCFDF158,1,12615129,,
RCFDF159,1,12638787,,
RCFDF160,1,12662445,,
RCFDF161,1,12686103,,
RCFDF162,1,12709761,,
RCFDF163,1,12733419,,
RCFDF164,1,12757077,,
RCFDF165,1,12780735,,
RCFDF166,1,12804393,,
RCFDF167,1,12828052,,
RCFDF168,1,12851710,,
RCFDF169,1,12875368,,
RCFDF170,1,12899026,,
RCFDF171,1,12922684,,
RCFDF236,1,12946342,,
RCFDF237,1,12970000,,
RCFDF240,1,12993658,,
RCFDF241,1,13017316,,
RCFDF242,1,13040974,,
RCFDF252,1,13064632,,
RCFDF253,1,13088291,,
RCFDF254,1,13111949,,
RCFDF261,1,13135607,,
RCFDF262,1,13159265,,
RCFDF263,1,13182923,,
RCFDF585,1,13206581,,
RCFDF586,1,13230239,,
RCFDF587,1,13253897,,
RCFDF589,1,13277555,,
RCFDF597,1,13301213,,
RCFDF598,1,13324871,,
RCFDF599,1,13348530,,
RCFDF601,1,13372188,,
RCFDF608,1,13395846,,
RCFDF609,1,13419504,,
RCFDF610,1,13443162,,
RCFDF614,1,13466820,,
RCFDF615,1,13490478,,
RCFDF616,1,13514136,,
RCFDF618,1,13537794,,
RCFDF624,1,13561452,,
RCFDF632,1,13585110,,
RCFDF633,1,13608768,,
RCFDF634,1,13632427,,
RCFDF636,1,13656085,,
RCFDF639,1,13679743,,
RCFDF640,1,13703401,,
RCFDF643,1,13727059,,
RCFDF644,1,13750717,,
RCFDF645,1,13774375,,
RCFDF646,1,13798033,,
RCFDF647,1,13821691,,
RCFDF648,1,13845349,,
RCFDF651,1,13869007,,
RCFDF652,1,13892666,,
RCFDF653,1,13916324,,
RCFDF654,1,13939982,,
RCFDF655,1,13963640,,
RCFDF656,1,13987298,,
RCFDF657,1,14010956,,
RCFDF658,1,14034614,,
RCFDF659,1,14058272,,
RCFDF660,1,14081930,,
RCFDF664,1,14105588,,
RCFDF665,1,14129246,,
RCFDF666,1,14152905,,
RCFDF667,1,14176563,,
RCFDF668,1,14200221,,
RCFDF669,1,14223879,,
RCFDF684,1,14247537,,
RCFDF686,1,14271195,,
RCFDF689,1,14294853,,
RCFDF692,1,14318511,,
RCFDF694,1,14342169,,
RCFDF697,1,14365827,,
RCFDF699,1,14389485,,
RCFDF790,1,14413143,,
RCFDG091,1,14436802,,
RCFDG092,1,14460460,,
RCFDG093,1,14484118,,
RCFDG094,1,14507776,,
RCFDG095,1,14531434,,
RCFDG096,1,14555092,,
RCFDG097,1,14578750,,
RCFDG098,1,14602408,,
RCFDG099,1,14626066,,
RCFDG100,1,14649724,,
RCFDG101,1,14673382,,
RCFDG102,1,14697041,,
RCFDG299,1,14720699,,
RCFDG300,1,14744357,,
RCFDG301,1,14768015,,
RCFDG302,1,14791673,,
RCFDG303,1,14815331,,
RCFDG304,1,14838989,,
RCFDG305,1,14862647,,
RCFDG306,1,14886305,,
RCFDG307,1,14909963,,
RCFDG308,1,14933621,,
RCFDG309,1,14957280,,
RCFDG310,1,14980938,,
RCFDG311,1,15004596,,
RCFDG312,1,15028254,,
RCFDG313,1,15051912,,
RCFDG314,1,15075570,,
RCFDG315,1,15099228,,
RCFDG316,1,15122886,,
RCFDG317,1,15146544,,
RCFDG318,1,15170202,,
RCFDG319,1,15193860,,
RCFDG320,1,15217518,,
RCFDG321,1,15241177,,
RCFDG322,1,15264835,,
RCFDG323,1,15288493,,
RCFDG332,1,15312151,,
RCFDG333,1,15335809,,
RCFDG334,1,15359467,,
RCFDG335,1,15383125,,
RCFDG336,1,15406783,,
RCFDG337,1,15430441,,
RCFDG338,1,15454099,,
RCFDG339,1,15477757,,
RCFDG340,1,15501416,,
RCFDG341,1,15525074,,
RCFDG342,1,15548732,,
RCFDG343,1,15572390,,
RCFDG344,1,15596048,,
RCFDG345,1,15619706,,
RCFDG346,1,15643364,,
RCFDG347,1,15667022,,
RCFDG348,1,15690680,,
RCFDG349,1,15714338,,
RCFDG350,1,15737996,,
RCFDG351,1,15761654,,
RCFDG352,1,15785313,,
RCFDG353,1,15808971,,
RCFDG354,1,15832629,,
RCFDG355,1,15856287,,
RCFDG356,1,15879945,,
RCFDG357,1,15903603,,
RCFDG358,1,15927261,,
RCFDG359,1,15950919,,
RCFDG360,1,15974577,,
RCFDG361,1,15998235,,
RCFDG362,1,16021893,,
RCFDG363,1,16045552,,
RCFDG364,1,16069210,,
RCFDG365,1,16092868,,
RCFDG366,1,16116526,,
RCFDG367,1,16140184,,
RCFDG368,1,16163842,,
RCFDG369,1,16187500,,
RCFDG370,1,16211158,,
RCFDG371,1,16234816,,
RCFDG372,1,16258474,,
RCFDG373,1,16282132,,
RCFDG374,1,16305791,,
RCFDG375,1,16329449,,
RCFDG378,1,16353107,,
RCFDG379,1,16376765,,
RCFDG380,1,16400423,,
RCFDG381,1,16424081,,
RCFDG383,1,16447739,,
RCFDG384,1,16471397,,
RCFDG385,1,16495055,,
RCFDG386,1,16518713,,
RCFDG387,1,16542371,,
RCFDG388,1,16566029,,
RCFDG391,1,16589688,,
RCFDG392,1,16613346,,
RCFDG395,1,16637004,,
RCFDG396,1,16660662,,
RCFDG401,1,16684320,,
RCFDG402,1,16707978,,
RCFDG403,1,16731636,,
RCFDG404,1,16755294,,
RCFDG405,1,16778952,,
RCFDG406,1,16802610,,
RCFDG407,1,16826268,,
RCFDG408,1,16849927,,
RCFDG409,1,16873585,,
RCFDG410,1,16897243,,
RCFDG411,1,16920901,,
RCFDG412,1,16944559,,
RCFDG413,1,16968217,,
RCFDG414,1,16991875,,
RCFDG415,1,17015533,,
RCFDG416,1,17039191,,
RCFDG417,1,17062849,,
RCFDG418,1,17086507,,
RCFDG419,1,17110166,,
RCFDG420,1,17133824,,
RCFDG421,1,17157482,,
RCFDG422,1,17181140,,
RCFDG423,1,17204798,,
RCFDG424,1,17228456,,
RCFDG425,1,17252114,,
RCFDG426,1,17275772,,
RCFDG427,1,17299430,,
RCFDG428,1,17323088,,
RCFDG429,1,17346746,,
RCFDG430,1,17370404,,
RCFDG431,1,17394063,,
RCFDG432,1,17417721,,
RCFDG433,1,17441379,,
RCFDG434,1,17465037,,
RCFDG435,1,17488695,,
RCFDG436,1,17512353,,
RCFDG437,1,17536011,,
RCFDG438,1,17559669,,
RCFDG439,1,17583327,,
RCFDG440,1,17606985,,
RCFDG441,1,17630643,,
RCFDG442,1,17654302,,
RCFDG443,1,17677960,,
RCFDG444,1,17701618,,
RCFDG445,1,17725276,,
RCFDG446,1,17748934,,
RCFDG447,1,17772592,,
RCFDG448,1,17796250,,
RCFDG449,1,17819908,,
RCFDG450,1,17843566,,
RCFDG451,1,17867224,,
RCFDG452,1,17890882,,
RCFDG453,1,17914541,,
RCFDG454,1,17938199,,
RCFDG455,1,17961857,,
RCFDG456,1,17985515,,
RCFDG457,1,18009173,,
RCFDG465,1,18032831,,
RCFDG466,1,18056489,,
RCFDG467,1,18080147,,
RCFDG468,1,18103805,,
RCFDG469,1,18127463,,
RCFDG470,1,18151121,,
RCFDG471,1,18174779,,
RCFDG472,1,18198438,,
RCFDG474,1,18222096,,
RCFDG475,1,18245754,,
RCFDG476,1,18269412,,
RCFDG477,1,18293070,,
RCFDG478,1,18316728,,
RCFDG479,1,18340386,,
RCFDG480,1,18364044,,
RCFDG481,1,18387702,,
RCFDG482,1,18411360,,
RCFDG483,1,18435018,,
RCFDG484,1,18458677,,
RCFDG485,1,18482335,,
RCFDG486,1,18505993,,
RCFDG487,1,18529651,,
RCFDG488,1,18553309,,
RCFDG489,1,18576967,,
RCFDG490,1,18600625,,
RCFDG491,1,18624283,,
RCFDG492,1,18647941,,
RCFDG493,1,18671599,,
RCFDG494,1,18695257,,
RCFDG495,1,18718915,,
RCFDG496,1,18742574,,
RCFDG497,1,18766232,,
RCFDG498,1,18789890,,
RCFDG499,1,18813548,,
RCFDG500,1,18837206,,
RCFDG501,1,18860864,,
RCFDG507,1,18884522,,
RCFDG508,1,18908180,,
RCFDG509,1,18931838,,
RCFDG510,1,18955496,,
RCFDG511,1,18979154,,
RCFDG512,1,19002813,,
RCFDG513,1,19026471,,
RCFDG514,1,19050129,,
RCFDG515,1,19073787,,
RCFDG516,1,19097445,,
RCFDG517,1,19121103,,
RCFDG518,1,19144761,,
RCFDG519,1,19168419,,
RCFDG520,1,19192077,,
RCFDG521,1,19215735,,
RCFDG522,1,19239393,,
RCFDG523,1,19263052,,
RCFDG524,1,19286710,,
RCFDG525,1,19310368,,
RCFDG526,1,19334026,,
RCFDG527,1,19357684,,
RCFDG528,1,19381342,,
RCFDG529,1,19405000,,
RCFDG530,1,19428658,,
RCFDG536,1,19452316,,
RCFDG537,1,19475974,,
RCFDG538,1,19499632,,
RCFDG539,1,19523290,,
RCFDG540,1,19546949,,
RCFDG541,1,19570607,,
RCFDG542,1,19594265,,
RCFDG543,1,19617923,,
RCFDG544,1,19641581,,
RCFDG545,1,19665239,,
RCFDG546,1,19688897,,
RCFDG547,1,19712555,,
RCFDG548,1,19736213,,
RCFDG549,1,19759871,,
RCFDG550,1,19783529,,
RCFDG551,1,19807188,,
RCFDG552,1,19830846,,
RCFDG553,1,19854504,,
RCFDG554,1,19878162,,
RCFDG555,1,19901820,,
RCFDG556,1,19925478,,
RCFDG557,1,19949136,,
RCFDG558,1,19972794,,
RCFDG559,1,19996452,,
RCFDG560,1,20020110,,
RCFDG561,1,20043768,,
RCFDG562,1,20067427,,
RCFDG563,1,20091085,,
RCFDG564,1,20114743,,
RCFDG565,1,20138401,,
RCFDG566,1,20162059,,
RCFDG567,1,20185717,,
RCFDG568,1,20209375,,
RCFDG569,1,20233033,,
RCFDG570,1,20256691,,
RCFDG571,1,20280349,,
RCFDG572,1,20304007,,
RCFDG573,1,20327665,,
RCFDG574,1,20351324,,
RCFDG575,1,20374982,,
RCFDG576,1,20398640,,
RCFDG577,1,20422298,,
RCFDG578,1,20445956,,
RCFDG579,1,20469614,,
RCFDG580,1,20493272,,
RCFDG581,1,20516930,,
RCFDG582,1,20540588,,
RCFDG583,1,20564246,,
RCFDG584,1,20587904,,
RCFDG585,1,20611563,,
RCFDG586,1,20635221,,
RCFDG587,1,20658879,,
RCFDG588,1,20682537,,
RCFDG589,1,20706195,,
RCFDG590,1,20729853,,
RCFDG603,1,20753511,,
RCFDG604,1,20777169,,
RCFDG605,1,20800827,,
RCFDG606,1,20824485,,
RCFDG608,1,20848143,,
RCFDG609,1,20871802,,
RCFDG610,1,20895460,,
RCFDG611,1,20919118,,
RCFDG612,1,20942776,,
RCFDG614,1,20966434,,
RCFDG615,1,20990092,,
RCFDG616,1,21013750,,
RCFDG617,1,21037408,,
RCFDG618,1,21061066,,
RCFDG620,1,21084724,,
RCFDG621,1,21108382,,
RCFDG622,1,21132040,,
RCFDG623,1,21155699,,
RCFDG624,1,21179357,,
RCFDG626,1,21203015,,
RCFDG627,1,21226673,,
RCFDG628,1,21250331,,
RCFDG629,1,21273989,,
RCFDG642,1,21297647,,
RCFDG651,1,21321305,,
RCFDG652,1,21344963,,
RCFDG804,1,21368621,,
RCFDG805,1,21392279,,
RCFDG806,1,21415938,,
RCFDG807,1,21439596,,
RCFDG808,1,21463254,,
RCFDG809,1,21486912,,
RCFDH171,1,21510570,,
RCFDH172,1,21534228,,
RCFDH173,1,21557886,,
RCFDH174,1,21581544,,
RCFDH175,1,21605202,,
RCFDH176,1,21628860,,
RCFDH177,1,21652518,,
RCFDH178,1,21676176,,
RCFDH179,1,21699835,,
RCFDH180,1,21723493,,
RCFDH181,1,21747151,,
RCFDH182,1,21770809,,
