"--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd)"
"CellName","CellTag","PageInstance","AdjustmentValue","Comment","RowKey"
"BHCKC892","","1","0",,
"BHCKC893","","1","0",,
"BHCKC894","","1","0",,
"BHCKC895","","1","0",,
"BHCKC896","","1","0",,
"BHCKC897","","1","0",,
"BHCKC898","","1","0",,
"BHCKB512","","1","0",,
"BHCKB513","","1","0",,
"BHCKB514","","1","0",,
"BHCKB515","","1","0",,
"BHCKF185","","1","0",,
"BHCKF187","","1","0",,
"BHCKF188","","1","0",,
"BHCKK129","","1","0",,
"BHCKK133","","1","0",,
"BHCKK205","","1","0",,
"BHCKK206","","1","0",,
"BHCK4652","","1","0",,
"BHCK4662","","1","0",,
"BHCK5409","","1","0",,
"BHCK5410","","1","0",,
"BHCK5523","","1","0",,
"BHCKC079","Derived","1","0",,
"BHCKC233","","1","0",,
"BHCKC388","","1","0",,
"BHCKC389","","1","0",,
"BHCKC390","","1","0",,
"BHCKC435","","1","0",,
"BHCKC781","","1","0",,
"BHCKB522","","1","0",,
"BHCT3123","Derived","1","0",,
"BHCT4230","","1","0",,
"BHCT4605","Derived","1","0",,
"BHCKM708","","1","0",,
"BHCKM709","","1","0",,
"BHCKM710","","1","0",,
"BHCKM711","","1","0",,
"BHCKM712","","1","0",,
"BHCKM713","","1","0",,
"BHCKM714","","1","0",,
"BHCKM715","","1","0",,
"BHCKM716","","1","0",,
"BHCKM717","","1","0",,
"BHCKM719","","1","0",,
"BHCKM720","","1","0",,
"BHCKM721","","1","0",,
"BHCKM722","","1","0",,
"BHCKM723","","1","0",,
"BHCKM724","","1","0",,
"BHCKM725","","1","0",,
"BHCKM726","","1","0",,
"BHCKM727","","1","0",,
"BHCKM728","","1","0",,
"BHCKM729","","1","0",,
"BHCKM730","","1","0",,
"BHCKM731","","1","0",,
"BHCKM732","","1","0",,
"BHCKM733","","1","0",,
"BHCKM734","","1","0",,
"BHCKM735","","1","0",,
"BHCKM736","","1","0",,
"BHCKM737","","1","0",,
"BHCKM738","","1","0",,
"BHCKM739","","1","0",,
"BHCKM740","","1","0",,
"BHCKM741","","1","0",,
"BHCKM742","","1","0",,
"BHCKM743","","1","0",,
"BHCKM744","","1","0",,
"BHCKM745","","1","0",,
"BHCKM746","","1","0",,
"BHCKM747","","1","0",,
"BHCKM748","","1","0",,
"BHCKM749","","1","0",,
"BHCKM750","","1","0",,
"BHCKM751","","1","0",,
"BHBC4070","","1","0",,
"BHBC4073","","1","0",,
"BHBC4074","Derived","1","0",,
"BHBC4079","","1","0",,
"BHBC4091","","1","0",,
"BHBC4093","","1","0",,
"BHBC4094","","1","0",,
"BHBC4107","","1","0",,
"BHBC4135","","1","0",,
"BHBC4218","","1","0",,
"BHBC4230","","1","0",,
"BHBC4301","Derived","1","0",,
"BHBC4302","","1","0",,
"BHBC4320","","1","0",,
"BHBC4340","Derived","1","0",,
"BHBC4421","","1","0",,
"BHBC4475","","1","0",,
"BHBC4484","","1","0",,
"BHBC4519","","1","0",,
"BHBC6061","","1","0",,
"BHBCA220","","1","0",,
"BHBCB490","","1","0",,
"BHBCB491","","1","0",,
"BHBCB493","","1","0",,
"BHBCB494","","1","0",,
"BHBCC216","","1","0",,
"BHCK5351","","1","0",,
"BHCK5352","","1","0",,
"BHCK5353","","1","0",,
"BHCK5354","","1","0",,
"BHCK5355","","1","0",,
"BHCKB042","","1","0",,
"BHCKB043","","1","0",,
"BHCKB044","","1","0",,
"BHCKB045","","1","0",,
"BHCKB046","","1","0",,
"TEXT5351","","1","",,
"TEXT5352","","1","",,
"TEXT5353","","1","",,
"TEXT5354","","1","",,
"TEXT5355","","1","",,
"TEXTB042","","1","",,
"TEXTB043","","1","",,
"TEXTB044","","1","",,
"TEXTB045","","1","",,
"TEXTB046","","1","",,
"BHCKB047","","1","0",,
"BHCKB048","","1","0",,
"BHCKB049","","1","0",,
"BHCKB050","","1","0",,
"BHCKB051","","1","0",,
"BHCKB052","","1","0",,
"BHCKB053","","1","0",,
"BHCKB054","","1","0",,
"BHCKB055","","1","0",,
"BHCKB056","","1","0",,
"TEXTB055","","1","",,
"TEXTB056","","1","",,
"TEXTB047","","1","",,
"TEXTB048","","1","",,
"TEXTB049","","1","",,
"TEXTB050","","1","",,
"TEXTB051","","1","",,
"TEXTB052","","1","",,
"TEXTB053","","1","",,
"TEXTB054","","1","",,
"FEDFRY9CP13ASOFDATE","Derived","1","",,
"RINAME","","1","",,
"BHDMB987","","1","0",,
"BHCKB989","","1","0",,
"BHCKB529","","1","0",,
"BHCKB528","","1","0",,
"BHCK5369","","1","0",,
"BHCK3656","","1","0",,
"BHCK3545","","1","0",,
"BHCK3163","","1","0",,
"BHCK3123","","1","0",,
"BHCK2170","","1","0",,
"BHCK2160","","1","0",,
"BHCK2150","","1","0",,
"BHCK2145","","1","0",,
"BHCK2130","","1","0",,
"BHCK1773","","1","0",,
"BHCK1754","","1","0",,
"BHCK0426","","1","0",,
"BHCK0397","","1","0",,
"BHCK0395","","1","0",,
"BHCK0081","","1","0",,
"BHCK3240","","1","0",,
"BHCK3247","","1","0",,
"BHCK3283","","1","0",,
"BHCK3300","Derived","1","0",,
"BHCK3548","Derived","1","0",,
"BHCK4062","","1","0",,
"BHCK2750","Derived","1","0",,
"BHCK2948","Derived","1","0",,
"BHCK3000","","1","0",,
"BHCK3190","Derived","1","0",,
"BHCK3210","Derived","1","0",,
"BHCK3230","","1","0",,
"BHCKB995","","1","0",,
"BHCKG105","Derived","1","0",,
"BHCKC699","","1","0",,
"BHCKB530","","1","0",,
"BHCKA130","","1","0",,
"BHDM6631","","1","0",,
"BHDM6636","","1","0",,
"BHDMB993","","1","0",,
"BHFN6631","","1","0",,
"BHFN6636","","1","0",,
"BHCKC884","","1","",,
"TEXTC703","","1","",,
"TEXTC704","","1","",,
"TEXTC705","","1","",,
"TEXTC708","","1","",,
"TEXTC714","","1","",,
"TEXTC715","","1","",,
"BHCKG303","","1","0",,
"BHCKG302","","1","0",,
"BHCKG301","","1","0",,
"BHCKG300","","1","0",,
"BHCK8499","","1","0",,
"BHCK8498","","1","0",,
"BHCK8497","","1","0",,
"BHCK8496","","1","0",,
"BHCK1298","","1","0",,
"BHCK1297","","1","0",,
"BHCK1295","","1","0",,
"BHCK1294","","1","0",,
"BHCK1293","","1","0",,
"BHCK1291","","1","0",,
"BHCK1290","","1","0",,
"BHCK1289","","1","0",,
"BHCK1287","","1","0",,
"BHCK1286","","1","0",,
"BHCK0213","","1","0",,
"BHCK0211","","1","0",,
"BHCKK157","","1","0",,
"BHCKK156","","1","0",,
"BHCKK155","","1","0",,
"BHCKK154","","1","0",,
"BHCKK153","","1","0",,
"BHCKK152","","1","0",,
"BHCKK151","","1","0",,
"BHCKK150","","1","0",,
"BHCKK149","","1","0",,
"BHCKK148","","1","0",,
"BHCKK147","","1","0",,
"BHCKK146","","1","0",,
"BHCKK145","","1","0",,
"BHCKK144","","1","0",,
"BHCKK143","","1","0",,
"BHCKK142","","1","0",,
"BHCKG323","","1","0",,
"BHCKG322","","1","0",,
"BHCKG321","","1","0",,
"BHCKG320","","1","0",,
"BHCKG319","","1","0",,
"BHCKG318","","1","0",,
"BHCKG317","","1","0",,
"BHCKG316","","1","0",,
"BHCKG315","","1","0",,
"BHCKG314","","1","0",,
"BHCKG313","","1","0",,
"BHCKG312","","1","0",,
"BHCKG311","","1","0",,
"BHCKG310","","1","0",,
"BHCKG309","","1","0",,
"BHCKG308","","1","0",,
"BHCKG307","","1","0",,
"BHCKG306","","1","0",,
"BHCKG305","","1","0",,
"BHCKG304","","1","0",,
"BHCT1773","","1","0",,
"BHCT1754","","1","0",,
"BHCKG347","","1","0",,
"BHCKG346","","1","0",,
"BHCKG345","","1","0",,
"BHCKG344","","1","0",,
"BHCKG343","","1","0",,
"BHCKG342","","1","0",,
"BHCKG341","","1","0",,
"BHCKG340","","1","0",,
"BHCKG339","","1","0",,
"BHCKG338","","1","0",,
"BHCKG337","","1","0",,
"BHCKG336","","1","0",,
"BHCKC989","","1","0",,
"BHCKC988","","1","0",,
"BHCKC027","","1","0",,
"BHCKC026","","1","0",,
"BHCKA511","","1","0",,
"BHCKA510","","1","0",,
"BHCK8783","","1","0",,
"BHCK8782","","1","0",,
"BHCK1778","","1","0",,
"BHCK1772","","1","0",,
"BHCK1771","","1","0",,
"BHCK1746","","1","0",,
"BHCK1744","","1","0",,
"BHCK1743","","1","0",,
"BHCK1742","","1","0",,
"BHCK1741","","1","0",,
"BHCK1739","","1","0",,
"BHCK1738","","1","0",,
"BHCK1737","","1","0",,
"BHCK0416","","1","0",,
"BHCK0387","","1","0",,
"BHCK0384","","1","0",,
"BHCK0383","","1","0",,
"BHCKG375","","1","0",,
"BHCKG374","","1","0",,
"BHCKG373","","1","0",,
"BHCKG372","","1","0",,
"BHCKG371","","1","0",,
"BHCKG370","","1","0",,
"BHCKG369","","1","0",,
"BHCKG368","","1","0",,
"BHCKG367","","1","0",,
"BHCKG366","","1","0",,
"BHCKG365","","1","0",,
"BHCKG364","","1","0",,
"BHCKG363","","1","0",,
"BHCKG362","","1","0",,
"BHCKG361","","1","0",,
"BHCKG360","","1","0",,
"BHCKG359","","1","0",,
"BHCKG358","","1","0",,
"BHCKG357","","1","0",,
"BHCKG356","","1","0",,
"BHCKG355","","1","0",,
"BHCKG354","","1","0",,
"BHCKG353","","1","0",,
"BHCKG352","","1","0",,
"BHCKG351","","1","0",,
"BHCKG350","","1","0",,
"BHCKG349","","1","0",,
"BHCKG348","","1","0",,
"BHCKB861","","1","0",,
"BHCKB860","","1","0",,
"BHCKB859","","1","0",,
"BHCKB858","","1","0",,
"BHCKB857","","1","0",,
"BHCKB856","","1","0",,
"BHCKB855","","1","0",,
"BHCKB854","","1","0",,
"BHCKB853","","1","0",,
"BHCKB852","","1","0",,
"BHCKB851","","1","0",,
"BHCKB850","","1","0",,
"BHCKB849","","1","0",,
"BHCKB848","","1","0",,
"BHCKB847","","1","0",,
"BHCKB846","","1","0",,
"BHCKB845","","1","0",,
"BHCKB844","","1","0",,
"BHCKB843","","1","0",,
"BHCKB842","","1","0",,
"BHCKB841","","1","0",,
"BHCKB840","","1","0",,
"BHCKB839","","1","0",,
"BHCKB838","","1","0",,
"BHDMJ454","","1","0",,
"BHDMJ451","","1","0",,
"BHDM5368","","1","0",,
"BHDM5367","","1","0",,
"BHDM2165","","1","0",,
"BHDM2123","","1","0",,
"BHDM2122","","1","0",,
"BHDM2081","","1","0",,
"BHDM1975","","1","0",,
"BHDM1797","","1","0",,
"BHDM1766","","1","0",,
"BHDM1590","","1","0",,
"BHDM1545","","1","0",,
"BHDM1460","","1","0",,
"BHDM1420","","1","0",,
"BHDM1288","","1","0",,
"BHCKK207","","1","0",,
"BHCKK137","","1","0",,
"BHCKJ454","","1","0",,
"BHCKJ451","","1","0",,
"BHCKF163","","1","0",,
"BHCKF162","","1","0",,
"BHCKF161","","1","0",,
"BHCKF160","","1","0",,
"BHCKF159","","1","0",,
"BHCKF158","","1","0",,
"BHCKB539","","1","0",,
"BHCKB538","","1","0",,
"BHCK2123","","1","0",,
"BHCK2122","","1","0",,
"BHCK2081","","1","0",,
"BHCK1764","","1","0",,
"BHCK1763","","1","0",,
"BHCK1590","","1","0",,
"BHCK1545","","1","0",,
"BHCK1410","","1","0",,
"BHCK1296","","1","0",,
"BHCK1292","","1","0",,
"BHCK2746","","1","0",,
"BHCKB837","","1","0",,
"BHCKF230","","1","0",,
"BHCKC391","","1","0",,
"BHCKC779","","1","0",,
"BHCKC780","","1","0",,
"BHCKK163","","1","0",,
"BHCKK164","","1","0",,
"BHCKK165","","1","0",,
"BHCKK167","","1","0",,
"BHCKK168","","1","0",,
"BHCKK203","","1","0",,
"BHCKK204","","1","0",,
"BHCKK212","","1","0",,
"BHCKK267","","1","0",,
"BHCKK098","","1","0",,
"BHDMF576","","1","0",,
"BHDMK158","","1","0",,
"BHDMK159","","1","0",,
"BHDMK160","","1","0",,
"BHDMK161","","1","0",,
"BHDMK162","","1","0",,
"BHDMK166","","1","0",,
"BHCKF608","","1","0",,
"BHCKF231","","1","0",,
"BHCKF232","","1","0",,
"BHCKF585","","1","0",,
"BHCKF586","","1","0",,
"BHCKF587","","1","0",,
"BHCKF589","","1","0",,
"BHCKK196","","1","0",,
"BHCKK208","","1","0",,
"BHDMF577","","1","0",,
"BHDMF578","","1","0",,
"BHDMF579","","1","0",,
"BHDMF580","","1","0",,
"BHDMF581","","1","0",,
"BHDMF582","","1","0",,
"BHDMF583","","1","0",,
"BHDMF584","","1","0",,
"BHDMF585","","1","0",,
"BHDMF586","","1","0",,
"BHDMF587","","1","0",,
"BHDMF589","","1","0",,
"BHDMK196","","1","0",,
"BHDMK208","","1","0",,
"BHCKF599","","1","0",,
"BHCKF601","","1","0",,
"BHCKF609","","1","0",,
"BHCKG091","","1","0",,
"BHCKG092","","1","0",,
"BHCKG093","","1","0",,
"BHCKG094","","1","0",,
"BHCKG095","","1","0",,
"BHCKG096","","1","0",,
"BHCKG097","","1","0",,
"BHCKG098","","1","0",,
"BHCKG099","","1","0",,
"BHCKG100","","1","0",,
"BHCKG101","","1","0",,
"BHCKG102","","1","0",,
"BHCKF597","","1","0",,
"BHCKF598","","1","0",,
"BHCKG378","","1","0",,
"BHCKK195","","1","0",,
"BHCKK209","","1","0",,
"BHDMF590","","1","0",,
"BHDMF591","","1","0",,
"BHDMF592","","1","0",,
"BHDMF593","","1","0",,
"BHDMF594","","1","0",,
"BHDMF595","","1","0",,
"BHDMF596","","1","0",,
"BHDMF597","","1","0",,
"BHDMF598","","1","0",,
"BHDMF599","","1","0",,
"BHDMF601","","1","0",,
"BHDMK195","","1","0",,
"BHDMK209","","1","0",,
"BHCK3531","","1","0",,
"BHCK3532","","1","0",,
"BHCK3533","","1","0",,
"BHCKF610","","1","0",,
"BHCKF614","","1","0",,
"BHCKF615","","1","0",,
"BHCKF616","","1","0",,
"BHCKF618","","1","0",,
"BHCKG379","","1","0",,
"BHCKG380","","1","0",,
"BHCKG381","","1","0",,
"BHCKG383","","1","0",,
"BHCKG384","","1","0",,
"BHCM3531","","1","0",,
"BHCM3532","","1","0",,
"BHCM3533","","1","0",,
"BHCKK197","","1","0",,
"BHCKK198","","1","0",,
"BHCKK199","","1","0",,
"BHCKK210","","1","0",,
"BHCKG385","","1","0",,
"BHCKG386","","1","0",,
"BHDMF604","","1","0",,
"BHDMF605","","1","0",,
"BHDMF606","","1","0",,
"BHDMF607","","1","0",,
"BHDMF611","","1","0",,
"BHDMF612","","1","0",,
"BHDMF613","","1","0",,
"BHDMF614","","1","0",,
"BHDMF615","","1","0",,
"BHDMF616","","1","0",,
"BHDMF618","","1","0",,
"BHDMG379","","1","0",,
"BHDMG380","","1","0",,
"BHDMG381","","1","0",,
"BHDMG383","","1","0",,
"BHDMG384","","1","0",,
"BHDMG385","","1","0",,
"BHDMG386","","1","0",,
"BHDMK197","","1","0",,
"BHDMK198","","1","0",,
"BHDMK199","","1","0",,
"BHDMK210","","1","0",,
"BHCK3541","","1","0",,
"BHCK3543","","1","0",,
"BHCK3547","","1","0",,
"BHCKF624","","1","0",,
"BHCKF632","","1","0",,
"BHCKF633","","1","0",,
"BHCKF634","","1","0",,
"BHCKF636","","1","0",,
"BHCKF639","","1","0",,
"BHCKF640","","1","0",,
"BHCKF790","","1","0",,
"BHCKG209","","1","0",,
"BHCKG210","","1","0",,
"BHCKG211","","1","0",,
"BHCM3541","","1","0",,
"BHCM3543","","1","0",,
"BHCKK200","","1","0",,
"BHCKK211","","1","0",,
"BHCT3545","Derived","1","0",,
"BHCT3548","Derived","1","0",,
"BHDM3545","Derived","1","0",,
"BHDM3547","","1","0",,
"BHDM3548","Derived","1","0",,
"BHDMF624","","1","0",,
"BHDMF625","","1","0",,
"BHDMF626","","1","0",,
"BHDMF627","","1","0",,
"BHDMF628","","1","0",,
"BHDMF629","","1","0",,
"BHDMF630","","1","0",,
"BHDMF631","","1","0",,
"BHDMF632","","1","0",,
"BHDMF633","","1","0",,
"BHDMF634","","1","0",,
"BHDMF636","","1","0",,
"BHDMF639","","1","0",,
"BHDMF640","","1","0",,
"BHDMG209","","1","0",,
"BHDMG210","","1","0",,
"BHDMG211","","1","0",,
"BHDMK200","","1","0",,
"BHDMK211","","1","0",,
"BHCKF643","","1","0",,
"BHCKF644","","1","0",,
"BHCKF645","","1","0",,
"BHCKF646","","1","0",,
"BHCKF647","","1","0",,
"BHCKF648","","1","0",,
"BHCKF651","","1","0",,
"BHCKF652","","1","0",,
"BHCKF653","","1","0",,
"BHCKF654","","1","0",,
"BHCKF655","","1","0",,
"BHCKF656","","1","0",,
"BHCKF657","","1","0",,
"BHCKF658","","1","0",,
"BHCKF659","","1","0",,
"BHCKF660","","1","0",,
"BHCKG212","","1","0",,
"BHCKG213","","1","0",,
"BHCKG299","","1","0",,
"BHCKG332","","1","0",,
"BHCKG333","","1","0",,
"BHCKG334","","1","0",,
"BHCKG335","","1","0",,
"BHCKG651","","1","0",,
"BHCKG652","","1","0",,
"BHCKG387","","1","0",,
"BHCKG388","","1","0",,
"BHDMG299","","1","0",,
"BHDMG332","","1","0",,
"BHDMG333","","1","0",,
"BHDMG334","","1","0",,
"BHDMG335","","1","0",,
"BHDMG387","","1","0",,
"BHDMG388","","1","0",,
"BHDMG651","","1","0",,
"BHDMG652","","1","0",,
"BHTXF655","","1","",,
"BHTXF656","","1","",,
"BHTXF657","","1","",,
"BHTXF658","","1","",,
"BHTXF659","","1","",,
"BHTXF660","","1","",,
"BHCB2210","","1","0",,
"BHCB2389","","1","0",,
"BHCB2604","","1","0",,
"BHCB3187","","1","0",,
"BHCB6648","","1","0",,
"BHCK1752","","1","0",,
"BHCK2148","","1","0",,
"BHCK2168","","1","0",,
"BHCKB556","","1","0",,
"BHCKA519","","1","0",,
"BHCKA520","","1","0",,
"BHCKK201","","1","0",,
"BHCKK202","","1","0",,
"BHCKK270","","1","0",,
"BHOD3189","","1","0",,
"BHCT2160","Derived","1","0",,
"BHDMA164","","1","0",,
"BHDMA242","","1","0",,
"BHDMA243","","1","0",,
"BHOD6648","","1","0",,
"BHFNA245","","1","0",,
"BHOD2148","","1","0",,
"BHOD2389","","1","0",,
"BHOD2604","","1","0",,
"BHOD3187","","1","0",,
"BHCK3296","","1","0",,
"BHCK3298","","1","0",,
"BHCK3408","","1","0",,
"BHCK3409","","1","0",,
"BHCK3049","","1","0",,
"BHCK3197","","1","0",,
"BHCKB984","","1","0",,
"BHCKB557","","1","0",,
"BHCT2750","Derived","1","0",,
"BHCKB988","","1","0",,
"BHCKB990","","1","0",,
"BHCKB991","","1","0",,
"BHCKB992","","1","0",,
"BHCKB994","","1","0",,
"BHCKB996","","1","0",,
"BHCKC244","","1","0",,
"BHCKC245","","1","0",,
"BHCKC246","","1","0",,
"BHCKC247","","1","0",,
"BHCKC248","","1","0",,
"BHCKC249","","1","0",,
"BHCKC250","","1","0",,
"BHCK3353","","1","0",,
"BHCK3365","","1","0",,
"BHCK3368","","1","0",,
"BHCK3401","","1","0",,
"BHCK3404","","1","0",,
"BHCK3517","","1","0",,
"BHCK3519","","1","0",,
"BHCK2635","","1","0",,
"BHCKB985","","1","0",,
"BHCKB558","","1","0",,
"BHCKB559","","1","0",,
"BHCKB560","","1","0",,
"BHDM3386","","1","0",,
"BHDM3387","","1","0",,
"BHDM3465","","1","0",,
"BHDM3466","","1","0",,
"BHDM3516","","1","0",,
"BHDMB561","","1","0",,
"BHDMB562","","1","0",,
"BHFN3360","","1","0",,
"BHCKJ459","","1","0",,
"BHCKJ458","","1","0",,
"BHCKJ457","","1","0",,
"BHCKJ456","","1","0",,
"BHCKJ455","","1","0",,
"BHCKG405","","1","0",,
"BHCKG404","","1","0",,
"BHCKG403","","1","0",,
"BHCKG402","","1","0",,
"BHCKG401","","1","0",,
"BHCKF165","","1","0",,
"BHCKF164","","1","0",,
"BHCKC975","","1","0",,
"BHCKC974","","1","0",,
"BHCKC973","","1","0",,
"BHCKC972","","1","0",,
"BHCKC971","","1","0",,
"BHCKC970","","1","0",,
"BHCKC969","","1","0",,
"BHCKC968","","1","0",,
"BHCKC222","","1","0",,
"BHCKC221","","1","0",,
"BHCKC220","","1","0",,
"BHCKC219","","1","0",,
"BHCK6570","","1","0",,
"BHCK6566","","1","0",,
"BHCK6550","","1","0",,
"BHCK3822","","1","0",,
"BHCK3820","","1","0",,
"BHCK3817","","1","0",,
"BHCK3816","","1","0",,
"BHCK3814","","1","0",,
"BHCK3433","","1","0",,
"BHCK3432","","1","0",,
"BHCK3411","","1","0",,
"TEXT6586","","1","",,
"TEXT6568","","1","",,
"TEXT6562","","1","",,
"TEXT6561","","1","",,
"BHCKG417","","1","0",,
"BHCKG416","","1","0",,
"BHCKG415","","1","0",,
"BHCKG414","","1","0",,
"BHCKG413","","1","0",,
"BHCKG412","","1","0",,
"BHCKG411","","1","0",,
"BHCKG410","","1","0",,
"BHCKG409","","1","0",,
"BHCKG408","","1","0",,
"BHCKG407","","1","0",,
"BHCKG406","","1","0",,
"BHCK8765","","1","0",,
"BHCK6586","","1","0",,
"BHCK6568","","1","0",,
"BHCK6562","","1","0",,
"BHCK6561","","1","0",,
"BHCK3435","","1","0",,
"BHCK3434","","1","0",,
"BHCK3430","","1","0",,
"BHCK8693","","1","0",,
"BHCK8694","","1","0",,
"BHCK8695","","1","0",,
"BHCK8696","","1","0",,
"BHCK8697","","1","0",,
"BHCK8698","","1","0",,
"BHCK8699","","1","0",,
"BHCK8700","","1","0",,
"BHCK8701","","1","0",,
"BHCK8702","","1","0",,
"BHCK8703","","1","0",,
"BHCK8704","","1","0",,
"BHCK8705","","1","0",,
"BHCK8706","","1","0",,
