"Condition:"
"Eop_Bal_Rcy","Customer_Code","Drill_Ref","Drill_Table","Calendar_Date","D_USED_DATE","Eop_Bal_Rcy","Rep_Line_Cd","Run_Skey","Scenario_Cd","N_USED_1","N_USED_2","Org_Structure_Entity_Code","Par_Entity_Name","V_USED_1"
"0","OE57RVPE","241","FRY9C","30/09/2014","21/03/2016","0","711","100","414","317","703","0001"," Bank USA ",""
"0","ZHIWPYEL","204","FRY9C","30/09/2014","21/03/2016","0","710","100","414","232","621","0001"," Bank USA ",""
"3849120000","S2RV53PS","267","FRY9C","30/09/2014","21/03/2016","3849120000","629000019","100","414","21","416","0001"," Bank USA ",""
"3849120000","X9IDK4QS","268","FRY9C","30/09/2014","21/03/2016","3849120000","629000019","100","414","22","417","0001"," Bank USA ",""
"4330260000","13WXTZD7","252","FRY9C","30/09/2014","21/03/2016","4330260000","629000012","100","414","6","401","0001"," Bank USA ",""
"4330260000","G4P7LS45","255","FRY9C","30/09/2014","21/03/2016","4330260000","629000013","100","414","9","404","0001"," Bank USA ",""
"4330260000","7KOVZ8LQ","256","FRY9C","30/09/2014","21/03/2016","4330260000","629000013","100","414","10","405","0001"," Bank USA ",""
"8660520000","R7CV4634","257","FRY9C","30/09/2014","21/03/2016","8660520000","629000014","100","414","11","406","0001"," Bank USA ",""
"8660520000","TFUPDGFH","258","FRY9C","30/09/2014","21/03/2016","8660520000","629000014","100","414","12","407","0001"," Bank USA ",""
"0","C554E9DP","242","FRY9C","30/09/2014","21/03/2016","0","711","100","414","318","704","0001"," Bank USA ",""
"4330260000","HEZBLKGW","251","FRY9C","30/09/2014","09/06/2015","4330260000","629000012","100","414","5","400","0001"," Bank USA ",""
"7794468000","2LTEHK8V","287","FRY9C","30/09/2014","21/03/2016","7794468000","709","100","414","261","649","0001"," Bank USA ",""
"7794468000","UYVQL49Q","288","FRY9C","30/09/2014","21/03/2016","7794468000","709","100","414","262","715","0001"," Bank USA ",""
"3849120000","EPJG23DV","307","FRY9C","30/09/2014","10/07/2014","3849120000","629000032","100","414","281","667","0001"," Bank USA ",""
"3849120000","FTEJOVLO","308","FRY9C","30/09/2014","10/07/2014","3849120000","629000032","100","414","282","668","0001"," Bank USA ","test"
"3849120000","HV9D6K7M","33","FRY9C","30/09/2014","11/08/2016","3849120000","629000034","100","414","77","472","0001"," Bank USA ",""
"3849120000","GHNIYFCL","34","FRY9C","30/09/2014","11/08/2016","3849120000","629000034","100","414","78","473","0001"," Bank USA ","null Sapce6"
"3849120000","KCOOLG19","37","FRY9C","30/09/2014","09/06/2015","3849120000","629000036","100","414","81","476","0001"," Bank USA ",""
"3849120000","A7Q20QTT","38","FRY9C","30/09/2014","09/06/2015","3849120000","629000036","100","414","82","709","0001"," Bank USA ",""
"5773680000","4SR8EHFP","5","FRY9C","30/09/2014","21/03/2016","5773680000","619000001","100","414","49","444","0001"," Bank USA ",""
"5773680000","1CAXOC5W","6","FRY9C","30/09/2014","21/03/2016","5773680000","619000001","100","414","50","445","0001"," Bank USA ",""
"18379548000","QYFSM0Z9","79","FRY9C","30/09/2014","21/03/2016","18379548000","706","100","414","119","512","0001"," Bank USA ",""
"0","TSB9UC2C","65","FRY9C","30/09/2014","21/03/2016","0","629000022","100","414","107","500","0001"," Bank USA ",""
"0","Q55EOIBZ","66","FRY9C","30/09/2014","21/03/2016","0","629000022","100","414","108","501","0001"," Bank USA ",""
"962280000","BR7WQLRV","73","FRY9C","30/09/2014","21/03/2016","962280000","629000023","100","414","114","507","0001"," Bank USA ",""
"962280000","ZBCP9V1J","74","FRY9C","30/09/2014","12/09/2017","962280000","629000023","100","414","115","508","0001"," Bank USA ",""
"962280000","PFX1LD34","83","FRY9C","30/09/2014","21/03/2016","962280000","707","100","414","123","516","0001"," Bank USA ",""
"18379548000","I70465PL","80","FRY9C","30/09/2014","21/03/2016","18379548000","706","100","414","120","513","0001"," Bank USA ",""
"69284160000","VP0P8666","95","FRY9C","30/09/2014","21/03/2016","69284160000","629000011","100","414","133","526","0001"," Bank USA ",""
"69284160000","4T77SIP3","96","FRY9C","30/09/2014","21/03/2016","69284160000","629000011","100","414","134","527","0001"," Bank USA ",""
"962280000","HDP99U68","84","FRY9C","30/09/2014","21/03/2016","962280000","707","100","414","124","517","0001"," Bank USA ",""
