--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd),,,,,
CellName,PageInstance,CellTag,AdjustmentValue,Comment,RowKey
OO1BME,1,,0,,
OO1BMF,1,,0,,
OO1BMG,1,,0,,
OO1BMH,1,,0,,
TOT1AM,1,,0,,
TOT1AMA,1,,0,,
TOT1AMB,1,,0,,
TOT1AMC,1,,0,,
TOT1BM,1,,0,,
TOT1BMD,1,,0,,
TOT1BME,1,,0,,
TOT1BMF,1,,0,,
TOT1BMG,1,,0,,
TOT1BMH,1,,0,,
UC1AM,1,,0,,
UC1AMA,1,,0,,
UC1AMB,1,,0,,
UC1AMC,1,,0,,
UC1BM,1,,0,,
UC1BMD,1,,0,,
UC1BME,1,,0,,
UC1BMF,1,,0,,
UC1BMG,1,,0,,
UC1BMH,1,,0,,
CB2,1,,0,,
CB3,1,,0,,
CB4,1,,0,,
CB5,1,,0,,
CBA1,1,,0,,
CBA2,1,,0,,
EO2,1,,0,,
EO3,1,,0,,
EO4,1,,0,,
EO5,1,,0,,
EOA1,1,,0,,
EOA2,1,,0,,
OO2,1,,0,,
OO3,1,,0,,
OO4,1,,0,,
OO5,1,,0,,
OOA1,1,,0,,
OOA2,1,,0,,
TOT2,1,,0,,
TOT3,1,,0,,
TOT4,1,,0,,
TOT5,1,,0,,
TOTA1,1,,0,,
TOTA2,1,,0,,
UC2,1,,0,,
UC3,1,,0,,
UC4,1,,0,,
UC5,1,,0,,
UCA1,1,,0,,
UCA2,1,,0,,
EC2P1,1,,0,,
EC2P2,1,,0,,
OC3P1,1,,0,,
SC1P1,1,,0,,
SC1P2,1,,0,,
CL1,1,,0,,Abu Dhabi
CL1AA,1,,0,,Abu Dhabi
CL1AAA,1,,0,,Abu Dhabi
CL1AAB,1,,0,,Abu Dhabi
CL1AAC,1,,0,,Abu Dhabi
CL1AB,1,,0,,Abu Dhabi
CL1ABA,1,,0,,Abu Dhabi
CL1ABB,1,,0,,Abu Dhabi
CL1ABC,1,,0,,Abu Dhabi
CL1AD,1,,0,,Abu Dhabi
CL1ADA,1,,0,,Abu Dhabi
CL1ADB,1,,0,,Abu Dhabi
CL1ADC,1,,0,,Abu Dhabi
CL1AE,1,,0,,Abu Dhabi
CL1AEA,1,,0,,Abu Dhabi
CL1AEB,1,,0,,Abu Dhabi
CL1AEC,1,,0,,Abu Dhabi
CL1AL,1,,0,,Abu Dhabi
CL1ALA,1,,0,,Abu Dhabi
CL1ALB,1,,0,,Abu Dhabi
CL1ALC,1,,0,,Abu Dhabi
CL1AM,1,,0,,Abu Dhabi
CL1AMA,1,,0,,Abu Dhabi
CL1AMB,1,,0,,Abu Dhabi
CL1AMC,1,,0,,Abu Dhabi
CL1BA,1,,0,,Abu Dhabi
CL1BAD,1,,0,,Abu Dhabi
CL1BAE,1,,0,,Abu Dhabi
CL1BAF,1,,0,,Abu Dhabi
CL1BAG,1,,0,,Abu Dhabi
CL1BAH,1,,0,,Abu Dhabi
CL1BB,1,,0,,Abu Dhabi
CL1BBD,1,,0,,Abu Dhabi
CL1BBE,1,,0,,Abu Dhabi
CL1BBF,1,,0,,Abu Dhabi
CL1BBG,1,,0,,Abu Dhabi
CL1BBH,1,,0,,Abu Dhabi
CL1BD,1,,0,,Abu Dhabi
CL1BDD,1,,0,,Abu Dhabi
CL1BDE,1,,0,,Abu Dhabi
CL1BDF,1,,0,,Abu Dhabi
CL1BDG,1,,0,,Abu Dhabi
CL1BDH,1,,0,,Abu Dhabi
CL1BE,1,,0,,Abu Dhabi
CL1BED,1,,0,,Abu Dhabi
CL1BEE,1,,0,,Abu Dhabi
CL1BEF,1,,0,,Abu Dhabi
CL1BEG,1,,0,,Abu Dhabi
CL1BEH,1,,0,,Abu Dhabi
CL1BL,1,,0,,Abu Dhabi
CL1BLD,1,,0,,Abu Dhabi
CL1BLE,1,,0,,Abu Dhabi
CL1BLF,1,,0,,Abu Dhabi
CL1BLG,1,,0,,Abu Dhabi
CL1BLH,1,,0,,Abu Dhabi
CL1BM,1,,0,,Abu Dhabi
CL1BMD,1,,0,,Abu Dhabi
CL1BME,1,,0,,Abu Dhabi
CL1BMF,1,,0,,Abu Dhabi
CL1BMG,1,,0,,Abu Dhabi
CL1BMH,1,,0,,Abu Dhabi
CL2,1,,0,,Abu Dhabi
CL3,1,,0,,Abu Dhabi
CL4,1,,0,,Abu Dhabi
CL5,1,,0,,Abu Dhabi
CLA1,1,,0,,Abu Dhabi
CLA2,1,,0,,Abu Dhabi
COUNTRY2,1,,AA,,Abu Dhabi
COUNTRYNAME,1,,Abu Dhabi,,Abu Dhabi
CL1,1,,0,,Romania
CL1AA,1,,0,,Romania
CL1AAA,1,,0,,Romania
CL1AAB,1,,0,,Romania
CL1AAC,1,,0,,Romania
CL1AB,1,,0,,Romania
CL1ABA,1,,0,,Romania
CL1ABB,1,,0,,Romania
CL1ABC,1,,0,,Romania
CL1AD,1,,0,,Romania
CL1ADA,1,,0,,Romania
CL1ADB,1,,0,,Romania
CL1ADC,1,,0,,Romania
CL1AE,1,,0,,Romania
CL1AEA,1,,0,,Romania
CL1AEB,1,,0,,Romania
CL1AEC,1,,0,,Romania
CL1AL,1,,0,,Romania
CL1ALA,1,,0,,Romania
CL1ALB,1,,0,,Romania
CL1ALC,1,,0,,Romania
CL1AM,1,,0,,Romania
CL1AMA,1,,0,,Romania
CL1AMB,1,,0,,Romania
CL1AMC,1,,0,,Romania
CL1BA,1,,0,,Romania
CL1BAD,1,,0,,Romania
CL1BAE,1,,0,,Romania
CL1BAF,1,,0,,Romania
CL1BAG,1,,0,,Romania
CL1BAH,1,,0,,Romania
CL1BB,1,,0,,Romania
CL1BBD,1,,0,,Romania
CL1BBE,1,,0,,Romania
CL1BBF,1,,0,,Romania
CL1BBG,1,,0,,Romania
CL1BBH,1,,0,,Romania
CL1BD,1,,0,,Romania
CL1BDD,1,,0,,Romania
CL1BDE,1,,0,,Romania
CL1BDF,1,,0,,Romania
CL1BDG,1,,0,,Romania
CL1BDH,1,,0,,Romania
CL1BE,1,,0,,Romania
CL1BED,1,,0,,Romania
CL1BEE,1,,0,,Romania
CL1BEF,1,,0,,Romania
CL1BEG,1,,0,,Romania
CL1BEH,1,,0,,Romania
CL1BL,1,,0,,Romania
CL1BLD,1,,0,,Romania
CL1BLE,1,,0,,Romania
CL1BLF,1,,0,,Romania
CL1BLG,1,,0,,Romania
CL1BLH,1,,0,,Romania
CL1BM,1,,0,,Romania
CL1BMD,1,,0,,Romania
CL1BME,1,,0,,Romania
CL1BMF,1,,0,,Romania
CL1BMG,1,,0,,Romania
CL1BMH,1,,0,,Romania
CL2,1,,0,,Romania
CL3,1,,0,,Romania
CL4,1,,0,,Romania
CL5,1,,0,,Romania
CLA1,1,,0,,Romania
CLA2,1,,0,,Romania
COUNTRY2,1,,RO,,Romania
COUNTRYNAME,1,,Romania,,Romania
